11100|Amarillo, TX|365|303|61|1|.|.|128|58|42|.|.|336|.|29|.
12420|Austin-Round Rock, TX|365|239|116|10|.|.|150|74|44|.|21|198|.|146|.
13140|Beaumont-Port Arthur, TX|365|238|116|10|1|.|164|74|44|.|.|182|30|153|.
15180|Brownsville-Harlingen, TX|365|252|111|2|.|.|108|67|42|.|.|134|.|231|.
18580|Corpus Christi, TX|365|263|100|2|.|.|112|64|41|.|.|181|1|183|.
18620|Corsicana, TX|365|284|79|2|.|.|105|62|39|.|.|227|7|131|.
19100|Dallas-Fort Worth-Arlington, TX|365|187|134|39|5|.|172|105|50|.|10|220|.|135|.
20580|Eagle Pass, TX|333|277|56|.|.|.|81|56|33|.|.|.|.|333|.
21340|El Paso, TX|365|195|163|7|.|.|136|80|50|.|19|228|.|116|2
26420|Houston-The Woodlands-Sugar Land, TX|365|144|176|30|14|1|203|105|54|.|16|149|3|185|12
28660|Killeen-Temple, TX|365|309|51|5|.|.|133|61|36|.|.|365|.|.|.
28780|Kingsville, TX|354|284|70|.|.|.|95|60|33|.|.|.|.|354|.
29700|Laredo, TX|365|255|110|.|.|.|94|63|40|.|.|110|.|253|2
30980|Longview, TX|365|322|41|2|.|.|143|54|33|.|1|357|7|.|.
32220|Marshall, TX|365|302|63|.|.|.|96|55|37|.|.|220|.|145|.
32580|McAllen-Edinburg-Mission, TX|365|246|118|1|.|.|107|64|39|.|.|106|.|259|.
36220|Odessa, TX|365|326|39|.|.|.|73|51|30|.|.|.|.|365|.
41700|San Antonio-New Braunfels, TX|365|217|134|11|3|.|156|77|46|.|13|169|.|183|.
45500|Texarkana, TX-AR|118|86|32|.|.|.|79|58|38|.|.|.|.|118|.
46340|Tyler, TX|365|319|45|1|.|.|108|54|33|.|.|365|.|.|.
47020|Victoria, TX|364|330|33|1|.|.|105|50|31.5|.|.|364|.|.|.
47380|Waco, TX|365|282|80|3|.|.|115|61|38|.|.|245|.|120|.
