CBSA Code|CBSA|# Days with AQI|Good|Moderate|Unhealthy for Sensitive Groups|Unhealthy|Very Unhealthy|AQI Maximum|AQI 90th Percentile|AQI Median|# Days CO|# Days NO2|# Days O3|# Days SO2|# Days PM2.5|# Days PM10
11100|Amarillo, TX|305|261|43|1|.|.|112|58|42|.|.|280|1|24|.
12420|Austin-Round Rock, TX|274|195|79|.|.|.|97|63|44|.|9|167|.|97|1
13140|Beaumont-Port Arthur, TX|306|224|76|6|.|.|122|71|43.5|1|.|191|23|91|.
15180|Brownsville-Harlingen, TX|275|191|82|2|.|.|110|66|43|1|.|108|.|166|.
18580|Corpus Christi, TX|274|223|51|.|.|.|93|58|38|.|.|188|.|86|.
18620|Corsicana, TX|274|225|49|.|.|.|83|55|39|.|.|181|2|91|.
19100|Dallas-Fort Worth-Arlington, TX|275|151|108|15|1|.|174|84|49|1|8|194|.|72|.
20580|Eagle Pass, TX|233|194|39|.|.|.|82|55|29|.|.|.|.|233|.
21340|El Paso, TX|306|154|146|6|.|.|147|77|50|1|15|173|.|116|1
26420|Houston-The Woodlands-Sugar Land, TX|336|146|169|20|1|.|159|93|52.5|1|17|188|1|126|3
28660|Killeen-Temple, TX|274|246|28|.|.|.|97|51|39|.|.|274|.|.|.
28780|Kingsville, TX|132|109|23|.|.|.|92|53|27.5|.|.|.|.|132|.
29700|Laredo, TX|275|202|73|.|.|.|96|64|38|1|.|81|.|192|1
30980|Longview, TX|305|275|30|.|.|.|100|50|38|.|.|303|2|.|.
31180|Lubbock, TX|31|31|.|.|.|.|46|31|21|.|.|.|.|31|.
32220|Marshall, TX|305|271|34|.|.|.|76|52|38|.|.|200|.|104|1
32580|McAllen-Edinburg-Mission, TX|274|200|73|1|.|.|114|65|38|.|.|117|.|155|2
36220|Odessa, TX|273|245|27|1|.|.|102|51|28|.|.|.|.|273|.
41700|San Antonio-New Braunfels, TX|305|212|88|5|.|.|136|67|44|.|2|196|.|107|.
45500|Texarkana, TX-AR|212|165|47|.|.|.|76|55|38|.|.|.|.|212|.
46340|Tyler, TX|305|283|21|1|.|.|101|49|38|.|.|305|.|.|.
47020|Victoria, TX|263|248|15|.|.|.|87|47|33|.|.|263|.|.|.
47380|Waco, TX|275|253|22|.|.|.|74|48|36|1|1|248|.|25|.
