OPEID,INSTNM,CITY,STABBR,ADM_RATE,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,PPTUG_EF,PPTUG_EF2,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,APPL_SCH_PCT_GE4,APPL_SCH_PCT_GE5,DEP_INC_AVG,IND_INC_AVG,DEBT_MDN,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,COMPL_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,DEP_RPY_3YR_RT_SUPP,IND_RPY_3YR_RT_SUPP,PELL_RPY_3YR_RT_SUPP,NOPELL_RPY_3YR_RT_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,NOTFIRSTGEN_RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,C200_4_POOLED_SUPP
100200,Alabama A & M University,Normal,AL,0.8989,823,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0084,NULL,0.0622,NULL,1,13415,NULL,18888,NULL,7182,12774,NULL,9063,7459,7079,0.8856,0.7115,0.476052849,0.368703551,33054.68926,9473.437492,19500,19500,33611.5,373.1565536,0.44471387,0.448163265,0.446488294,0.422018349,0.578873239,0.373790022,0.442857143,0.45890411,0.443586698,0.452513966,0.484818805,0.406,0.423580786,0.44245283,NULL,0.308718313,NULL,0.351685564
105200,University of Alabama at Birmingham,Birmingham,AL,0.8673,1146,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,NULL,0.2579,NULL,1,14805,NULL,19990,NULL,7206,16398,NULL,9033,17208,10170,0.9106,0.3505,0.177436554,0.111324376,59852.54783,26714.10942,16250,16250,23117,256.6460899,0.756266667,0.724256293,0.770134228,0.818059299,0.847800926,0.678748759,0.767798013,0.739164697,0.732297853,0.795454545,0.760521886,0.755344418,0.751552795,0.765074771,NULL,0.508549808,NULL,0.473092383
2503400,Amridge University,Montgomery,AL,NULL,NULL,322,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,0,0,0.2671,NULL,0.3727,NULL,1,NULL,7455,12300,NULL,6870,6870,NULL,12057,5123,3849,0.6721,0.6839,0.218446602,0.131067961,35816.19451,21767.30931,10500,10500,PrivacySuppressed,PrivacySuppressed,0.647249191,0.597701149,0.709090909,PrivacySuppressed,0.807692308,0.61328125,PrivacySuppressed,0.641114983,0.600877193,0.775,0.610465116,0.686567164,0.632653061,0.65,NULL,PrivacySuppressed,NULL,PrivacySuppressed
105500,University of Alabama in Huntsville,Huntsville,AL,0.8062,1180,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,NULL,0.2395,NULL,1,17520,NULL,20306,NULL,9192,21506,NULL,8322,9352,9341,0.6555,0.3281,0.158221303,0.093588418,63370.50758,26499.31173,16500,16500,24738,274.6425129,0.781997919,0.721404304,0.824742268,0.851936219,0.892045455,0.689788054,0.800347222,0.75564409,0.738341969,0.851405622,0.768378651,0.79844098,0.778156997,0.791666667,NULL,0.478211346,NULL,0.494129398
100500,Alabama State University,Montgomery,AL,0.5125,830,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,NULL,0.0902,NULL,1,11936,NULL,17400,NULL,8720,15656,NULL,7813,7393,6557,0.6641,0.8265,0.399108138,0.30574136,32377.76273,7347.093365,15854.5,15854.5,33452,371.3857766,0.331198862,0.310875332,0.376106195,0.333333333,0.482490272,0.315996848,0.32410212,0.350993377,0.320016821,0.380829016,0.364423718,0.286530612,0.315737052,0.334633385,NULL,0.257481955,NULL,0.293651627
105100,The University of Alabama,Tuscaloosa,AL,0.5655,1171,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,NULL,0.0852,NULL,1,20916,NULL,26717,NULL,9450,23950,NULL,12198,9817,9605,0.7109,0.2107,0.247904616,0.176366427,95103.51296,30603.99709,17750,17750,24000,266.4492,0.8139413,0.740354536,0.815261044,0.890335503,0.902272727,0.711203634,0.838282418,0.711088505,0.763829082,0.876039305,0.816259088,0.816176471,0.786885246,0.838674336,NULL,0.666009354,NULL,0.6906271
100700,Central Alabama Community College,Alexander City,AL,NULL,NULL,1779,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,0.0006,0.0011,0.0079,NULL,0.466,NULL,1,6407,NULL,12103,NULL,4200,7500,NULL,2371,5935,5805,0.3871,0.6515,0.144351464,0.094142259,31503.4807,14773.72837,7554,7554,PrivacySuppressed,PrivacySuppressed,0.438401776,0.353796446,0.577889447,0.753623188,0.542168675,0.427872861,0.530434783,0.374538745,0.370833333,0.71257485,0.425,0.468879668,0.459954233,0.437735849,0.1187,NULL,0.289189362,NULL
100800,Athens State University,Athens,AL,NULL,NULL,2999,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,0.0133,0.007,0.0764,NULL,0.5502,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5094,6176,7672,0.4412,0.4107,0.089460784,0.050857843,56222.5455,30705.84932,14000,14000,18832,209.0738056,0.767649075,0.710144928,0.79787234,0.895833333,0.828817734,0.6921875,0.884244373,0.737027265,0.736203091,0.822878229,0.751684312,0.810344828,0.780089153,0.762658228,NULL,NULL,NULL,NULL
831000,Auburn University at Montgomery,Montgomery,AL,0.8371,970,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,0,0.0435,0.0641,NULL,0.3061,NULL,1,11915,NULL,16556,NULL,8750,24950,NULL,7625,6817,7173,0.9262,0.4006,0.221869329,0.15199637,48382.43719,20278.72562,10750,10750,21791,241.9247716,0.628856194,0.55311973,0.703459638,0.781690141,0.789889415,0.56147541,0.663643858,0.579190751,0.569164265,0.747826087,0.634807418,0.613149847,0.637096774,0.667286245,NULL,0.285309228,NULL,0.317418391
100900,Auburn University,Auburn University,AL,0.8274,1215,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,0.0127,NULL,0.0902,NULL,1,17541,NULL,23788,NULL,9852,26364,NULL,13186,11324,9429,0.878,0.1687,0.190078703,0.127355116,95877.44495,19802.84077,18250,18250,22250,247.0206125,0.882455377,0.805755396,0.879596251,0.934929724,0.91954023,0.881687014,0.889626352,0.828,0.828978622,0.92906364,0.897800183,0.869083156,0.843118383,0.904134212,NULL,0.680930242,NULL,0.696022119
